priority_rank,risk_score,risk_score_100,risk_band,risk_percentile_group,recommended_action,actual_fraud,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,policy_duration_days,claim_to_premium_ratio,injury_claim_ratio,property_claim_ratio,vehicle_claim_ratio,is_night_incident,multi_vehicle_flag
1,0.9989425162726794,99.89,High,Very High,Immediate Review,0,439,56,IN,250/500,500,1082.49,0,FEMALE,PhD,prof-specialty,chess,unmarried,36100,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,12,3,,2,3,,56430,0,6270,50160,Honda,CRV,2014,2291,52.12981182274201,0.0,0.1111111111111111,0.8888888888888888,0,1
2,0.998855921792451,99.89,High,Very High,Immediate Review,0,208,41,IN,100/300,1000,1134.68,0,FEMALE,College,tech-support,chess,husband,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbend,18,1,NO,2,2,,69300,6930,13860,48510,Volkswagen,Jetta,1996,210,61.07448796136355,0.1,0.2,0.7,0,0
3,0.9984640670582767,99.85,High,Very High,Immediate Review,1,231,37,OH,250/500,500,920.81,0,FEMALE,High School,sales,chess,wife,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Hillsdale,14,1,YES,2,0,,71190,0,7910,63280,Mercedes,C300,1997,8464,77.31236628620454,0.0,0.1111111111111111,0.8888888888888888,0,0
4,0.9984331810303437,99.84,High,Very High,Immediate Review,0,229,41,OH,250/500,2000,1107.59,3000000,MALE,PhD,tech-support,chess,not-in-family,65400,0,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Columbus,23,1,NO,1,3,NO,62640,10440,10440,41760,Mercedes,C300,2009,5882,56.5552235032819,0.1666666666666666,0.1666666666666666,0.6666666666666666,1,0
5,0.9981889443274831,99.82,High,Very High,Immediate Review,1,140,32,IL,250/500,1000,985.97,5000000,FEMALE,College,protective-serv,cross-fit,other-relative,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Northbrook,13,1,,2,3,,82170,14940,7470,59760,Chevrolet,Silverado,1995,6675,83.33924967291094,0.1818181818181818,0.0909090909090909,0.7272727272727273,0,0
6,0.9954838223125361,99.55,High,Very High,Immediate Review,1,456,62,OH,250/500,1000,1395.77,0,FEMALE,MD,protective-serv,chess,own-child,82600,-49500,Multi-vehicle Collision,Side Collision,Major Damage,Other,PA,Hillsdale,13,3,,1,3,NO,66480,5540,11080,49860,Saab,92x,2012,2054,47.629623791885486,0.0833333333333333,0.1666666666666666,0.75,0,1
7,0.9953442471151326,99.53,High,Very High,Immediate Review,0,140,36,OH,500/1000,2000,979.26,0,FEMALE,JD,transport-moving,cross-fit,own-child,0,-67000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Riverwood,2,4,YES,0,2,YES,72800,14560,14560,43680,Honda,Accord,1998,5343,74.34184996834344,0.2,0.2,0.6,1,1
8,0.9953063156307126,99.53,High,Very High,Immediate Review,1,34,34,OH,500/1000,500,1295.87,0,FEMALE,PhD,priv-house-serv,chess,husband,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Columbus,4,3,,1,0,NO,50800,5080,5080,40640,Audi,A3,1997,8335,39.20146310972552,0.1,0.1,0.8,1,1
9,0.9948412206115183,99.48,High,Very High,Immediate Review,1,87,31,IN,500/1000,1000,1074.07,0,FEMALE,Masters,sales,chess,husband,0,-47500,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NY,Springfield,16,3,NO,0,3,YES,60940,5540,11080,44320,Nissan,Ultima,2006,2041,56.737456590352586,0.0909090909090909,0.1818181818181818,0.7272727272727273,0,1
10,0.9940150432646686,99.4,High,Very High,Immediate Review,1,202,34,IN,100/300,500,848.07,3000000,MALE,JD,exec-managerial,chess,not-in-family,31000,-30200,Vehicle Theft,,Minor Damage,,VA,Northbrook,5,1,YES,2,1,,5720,1040,520,4160,Suburu,Forrestor,2003,4556,6.744726260803943,0.1818181818181818,0.0909090909090909,0.7272727272727273,1,0
11,0.9930684723874446,99.31,High,Very High,Immediate Review,1,116,34,IN,250/500,500,1737.66,0,MALE,Associate,transport-moving,chess,unmarried,0,-24100,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,1,1,,1,1,,97080,16180,16180,64720,BMW,X5,2001,854,55.86823659404026,0.1666666666666666,0.1666666666666666,0.6666666666666666,1,0
12,0.9923169929918292,99.23,High,Very High,Immediate Review,0,249,43,IL,250/500,1000,1518.46,0,FEMALE,MD,armed-forces,cross-fit,own-child,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,16,1,,0,0,YES,53500,5350,5350,42800,Saab,92x,2015,510,35.23306507909329,0.1,0.1,0.8,0,0
13,0.9902348233577093,99.02,High,Very High,Immediate Review,1,171,34,IN,250/500,2000,1277.25,0,FEMALE,College,exec-managerial,yachting,other-relative,84900,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,14,1,NO,1,2,,69200,13840,6920,48440,Volkswagen,Passat,1996,6544,54.1788999804267,0.2,0.1,0.7,0,0
14,0.989335313046157,98.93,High,Very High,Immediate Review,1,398,58,OH,100/300,500,990.98,0,FEMALE,Associate,exec-managerial,cross-fit,wife,0,-57900,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Northbrook,18,1,YES,2,1,,99320,7640,15280,76400,Accura,TL,2002,5191,100.22402066641102,0.0769230769230769,0.1538461538461538,0.7692307692307693,0,0
15,0.9891904243316657,98.92,High,Very High,Immediate Review,1,128,31,IL,100/300,500,1045.12,0,FEMALE,High School,transport-moving,cross-fit,other-relative,0,-28300,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Springfield,2,3,NO,0,2,,69930,0,15540,54390,Ford,Escape,2013,7839,66.91097672994489,0.0,0.2222222222222222,0.7777777777777778,1,1
